title,playerRange,categories,language,link,image,_costCredit,_id,_lastUpdated,_source
Chameleon,2-4,Family Game,🇬🇧 English,https://boardgamegeek.com/boardgame/17576/chameleon,https://assets-global.website-files.com/6439093ffc50591d3eb2bccb/6439093ffc5059e4f5b2bdc3_pic174595.webp,,65b691faf9d5ebe17a6b2181,2024-01-28T17:48:05.536Z,https://www.bohemiaboardsandbrews.com/knihovna-her
Stick Collection,2-5,"Abstract strategy, New Arrivals",,https://boardgamegeek.com/boardgame/351809/stick-collection,https://assets-global.website-files.com/6439093ffc50591d3eb2bccb/657dc8ea10d68ff11ebb07e9_pic7757952.webp,,65b691faf9d5ebe17a6b2181,2024-01-28T17:48:05.536Z,https://www.bohemiaboardsandbrews.com/knihovna-her
Maracaibo,1-4,"Solo mode, Strategy",🇬🇧 English,https://boardgamegeek.com/boardgame/276025/maracaibo,https://assets-global.website-files.com/6439093ffc50591d3eb2bccb/6439093ffc5059ffdeb2c056_pic4917407.webp,,65b691faf9d5ebe17a6b2181,2024-01-28T17:48:05.536Z,https://www.bohemiaboardsandbrews.com/knihovna-her
Goblíci Jedlíci,2,Family Game,🇨🇿 Čeština,https://boardgamegeek.com/boardgame/13230/gobblet-gobblers,https://assets-global.website-files.com/6439093ffc50591d3eb2bccb/6439093ffc50591481b2bfec_pic495594.webp,,65b691faf9d5ebe17a6b2181,2024-01-28T17:48:05.536Z,https://www.bohemiaboardsandbrews.com/knihovna-her
The March of Progress,2,"Wargame, 2-player, New Arrivals, Card Game",,https://boardgamegeek.com/boardgame/301032/march-progress,https://assets-global.website-files.com/6439093ffc50591d3eb2bccb/657dce16acfd73f8e311c4e3_pic5299277.webp,,65b691faf9d5ebe17a6b2181,2024-01-28T17:48:05.536Z,https://www.bohemiaboardsandbrews.com/knihovna-her
Around the World in 80 Days,2-6,"Family Game, Board Game",🇬🇧 English,https://boardgamegeek.com/boardgame/204599/around-world-80-days,https://assets-global.website-files.com/6439093ffc50591d3eb2bccb/6439093ffc5059f19ab2bd95_pic3108814.webp,,65b691faf9d5ebe17a6b2181,2024-01-28T17:48:05.536Z,https://www.bohemiaboardsandbrews.com/knihovna-her
Trails,2-4,"Worker placement, Family Game",🇬🇧 English,https://boardgamegeek.com/boardgame/338628/trails,https://assets-global.website-files.com/6439093ffc50591d3eb2bccb/6439093ffc5059504ab2c11a_pic6214088.webp,,65b691faf9d5ebe17a6b2181,2024-01-28T17:48:05.536Z,https://www.bohemiaboardsandbrews.com/knihovna-her
Detective: City of Angels,1-5,"Solo mode, Thematic / Licensed, Board Game",🇬🇧 English,https://boardgamegeek.com/boardgame/218074/detective-city-angels,https://assets-global.website-files.com/6439093ffc50591d3eb2bccb/6439093ffc5059202db2be36_pic3469246.webp,,65b691faf9d5ebe17a6b2181,2024-01-28T17:48:05.536Z,https://www.bohemiaboardsandbrews.com/knihovna-her
Na prodej,3-6,"Family Game, Card Game",🇨🇿 Čeština,https://boardgamegeek.com/boardgame/172/sale,https://assets-global.website-files.com/6439093ffc50591d3eb2bccb/6439093ffc5059b06bb2c078_pic1513085.webp,,65b691faf9d5ebe17a6b2181,2024-01-28T17:48:05.536Z,https://www.bohemiaboardsandbrews.com/knihovna-her
Topito,2-4,"Dexterity, Family Game",🇬🇧 English,https://boardgamegeek.com/boardgame/220738/topito,https://assets-global.website-files.com/6439093ffc50591d3eb2bccb/6439093ffc5059cffeb2c119_pic3750973.webp,,65b691faf9d5ebe17a6b2181,2024-01-28T17:48:05.536Z,https://www.bohemiaboardsandbrews.com/knihovna-her
Balada,1-6,"Solo mode, Thematic / Licensed, Board Game",🇨🇿 Čeština,https://boardgamegeek.com/boardgame/342703/balada,https://assets-global.website-files.com/6439093ffc50591d3eb2bccb/6439093ffc50595a85b2bd9b_pic6288541.webp,,65b691faf9d5ebe17a6b2181,2024-01-28T17:48:05.536Z,https://www.bohemiaboardsandbrews.com/knihovna-her
Duch!,2-8,"Family Game, Card Game",🇨🇿 Čeština,https://boardgamegeek.com/boardgame/83195/ghost-blitz,,,65b691faf9d5ebe17a6b2181,2024-01-28T17:48:05.536Z,https://www.bohemiaboardsandbrews.com/knihovna-her
The Mind,2-4,"Family Game, Party, Card Game",🇬🇧 English,https://boardgamegeek.com/boardgame/244992/mind,https://assets-global.website-files.com/6439093ffc50591d3eb2bccb/6439093ffc50597582b2c108_pic3979766.webp,,65b691faf9d5ebe17a6b2181,2024-01-28T17:48:05.536Z,https://www.bohemiaboardsandbrews.com/knihovna-her
Truffle Shuffle,2-4,"Family Game, Card Game",🇬🇧 English,https://boardgamegeek.com/boardgame/298060/truffle-shuffle,https://assets-global.website-files.com/6439093ffc50591d3eb2bccb/6439093ffc5059353cb2c120_pic5159393.webp,,65b691faf9d5ebe17a6b2181,2024-01-28T17:48:05.536Z,https://www.bohemiaboardsandbrews.com/knihovna-her
Pandemic,2-4,"Thematic / Licensed, Family Game, Strategy",🇨🇿 Čeština,https://boardgamegeek.com/boardgame/30549/pandemic,https://assets-global.website-files.com/6439093ffc50591d3eb2bccb/6439093ffc50591381b2c08e_pic1534148.webp,,65b691faf9d5ebe17a6b2181,2024-01-28T17:48:05.536Z,https://www.bohemiaboardsandbrews.com/knihovna-her
