Industry,Vulnerability Score,Jobs Displaced,Net Job Loss,Productivity Multiplier
Creative & Media,73,379566.0,322656.0,2.8924686037807157
E-commerce,66,305367.0,259579.0,2.8974249618920176
Consulting,71,258330.0,219602.0,3.166384190360387
Healthcare,80,217581.0,184967.0,2.844248805038384
E-commerce,80,216972.0,184444.0,3.091588245901946
Technology,58,207733.0,176600.0,2.8842023261935705
Customer Service,40,187723.0,159582.0,2.8703619647085716
Real Estate,70,140819.0,119711.0,2.822252346032556
Finance & Banking,55,124723.0,106031.0,3.080838616967102
Healthcare,63,122146.0,103843.0,2.71733638043531
Real Estate,61,95782.0,81435.0,3.2373928348116343
Legal Services,84,80697.0,68607.0,3.120960734459046
