Quarter,Industry,Jobs Displaced,Productivity Multiplier
2020-03-31,Consulting,32785.0,3.027026789323462
2020-03-31,Healthcare,24228.0,2.535523077460645
2020-03-31,Real Estate,17664.0,2.4742365231069967
2020-03-31,Technology,7489.0,2.235719633063471
2020-03-31,E-commerce,3082.0,2.8631116738042044
2020-03-31,Finance & Banking,1592.0,4.737385624641338
2020-03-31,Legal Services,1154.0,3.8222207639179526
2020-03-31,Customer Service,1110.0,1.5358193201536732
2020-06-30,E-commerce,34426.0,3.9558119147648774
2020-06-30,Healthcare,12095.0,2.9574281729426226
2020-06-30,Creative & Media,3283.0,3.6408122717703315
2020-06-30,Real Estate,1593.0,2.8538479454949197
2020-06-30,Finance & Banking,954.0,1.7578827802359103
2020-06-30,Consulting,378.0,3.218077862806179
2020-06-30,Legal Services,357.0,5.206517367569438
2020-09-30,Creative & Media,30384.0,2.1694067880925982
2020-09-30,Finance & Banking,18382.0,1.6550974814745867
2020-09-30,Technology,15765.0,3.285649244512396
2020-09-30,Legal Services,10556.0,3.0838793017257267
2020-09-30,E-commerce,4999.0,3.0339735015154052
2020-09-30,Healthcare,1169.0,3.1757057049514854
2020-09-30,Real Estate,1141.0,3.7634435940670943
2020-09-30,Customer Service,474.0,4.350876739751666
2020-09-30,Consulting,450.0,1.8220422645746799
2020-12-31,Creative & Media,37376.0,2.5795592215220973
2020-12-31,Customer Service,18195.0,3.215411304259233
2020-12-31,E-commerce,10422.0,4.405916798258464
2020-12-31,Real Estate,5920.0,3.62422901094662
2020-12-31,Technology,4360.0,1.7866281869658636
2020-12-31,Healthcare,1742.0,3.2140001096307262
2020-12-31,Finance & Banking,1071.0,3.288000191147351
2020-12-31,Consulting,853.0,4.81713552352059
2020-12-31,Legal Services,663.0,2.8988583360539364
2021-03-31,Creative & Media,54053.0,2.0197911176317627
2021-03-31,Technology,9829.0,2.925177442800706
2021-03-31,E-commerce,8534.0,3.1044102943171272
2021-03-31,Healthcare,2210.0,1.8187741772287933
2021-03-31,Finance & Banking,1588.0,1.7255443186130601
2021-03-31,Real Estate,245.0,2.6249614514619655
