Quarter,Role,Jobs Displaced,Wage Suppression %
2020-03-31,QA Tester,51635.0,11.900053096790616
2020-03-31,Junior Analyst,21185.0,5.948556404219135
2020-03-31,Transcriptionist,5699.0,12.671249624820495
2020-03-31,Social Media Manager,4341.0,32.529615181400644
2020-03-31,Copywriter,1938.0,8.829472690748469
2020-03-31,Bookkeeper,1755.0,8.778029419284227
2020-03-31,Paralegal,1154.0,28.48114421404434
2020-03-31,Junior Software Developer,1080.0,19.765042481184274
2020-03-31,Technical Writer,252.0,9.928366365379405
2020-03-31,Graphic Designer,65.0,8.773273701277406
2020-06-30,Transcriptionist,26033.0,8.70525685870804
2020-06-30,Bookkeeper,10721.0,7.857376801013075
2020-06-30,Copywriter,8238.0,8.477121282196595
2020-06-30,Virtual Assistant,2495.0,9.75638855951648
2020-06-30,Proofreader,1596.0,9.713955895436152
2020-06-30,QA Tester,1484.0,7.543456132677555
2020-06-30,Junior Analyst,944.0,5.2634250910214755
2020-06-30,Sales Development Rep,832.0,19.051173251370813
2020-06-30,Technical Writer,362.0,8.938875661805703
2020-06-30,Paralegal,201.0,9.418648073065734
2020-06-30,Customer Success Rep,180.0,5.424219089347278
2020-09-30,Copywriter,35607.0,8.561923556040517
2020-09-30,Translator,20852.0,0.9786583896217351
2020-09-30,Junior Analyst,7310.0,6.81593448479893
2020-09-30,Proofreader,5958.0,4.033185726615521
2020-09-30,Administrative Assistant,3496.0,10.819383563952702
2020-09-30,Graphic Designer,2646.0,4.720554915725686
2020-09-30,Technical Writer,2213.0,5.492078542143392
2020-09-30,QA Tester,1483.0,9.643807856433616
2020-09-30,Social Media Manager,1141.0,0.0
2020-09-30,Virtual Assistant,937.0,0.0
2020-09-30,Bookkeeper,912.0,13.806746476586035
2020-09-30,Customer Success Rep,464.0,3.403756405232871
2020-09-30,Paralegal,203.0,0.5032458677193197
2020-09-30,Junior Software Developer,98.0,13.25193100348301
2020-12-31,Junior Analyst,26890.0,13.670781254704814
2020-12-31,Sales Development Rep,17862.0,5.20544951441398
2020-12-31,Transcriptionist,15598.0,12.648482600097953
2020-12-31,QA Tester,7072.0,3.9965847379695942
2020-12-31,Bookkeeper,4802.0,15.580807272383886
2020-12-31,Administrative Assistant,2610.0,10.219652856887715
2020-12-31,Proofreader,1812.0,13.855364387407427
2020-12-31,Customer Success Rep,1741.0,5.3149565582273945
2020-12-31,Graphic Designer,1596.0,20.94379641466526
2020-12-31,Paralegal,226.0,3.119436724053369
2020-12-31,Technical Writer,220.0,14.099740566685403
2020-12-31,Social Media Manager,112.0,19.597913261098526
2020-12-31,Junior Software Developer,61.0,32.99451846990146
2021-03-31,QA Tester,54000.0,17.115552960075618
2021-03-31,Technical Writer,10074.0,11.858604015805572
2021-03-31,Junior Analyst,9703.0,28.486384974471633
2021-03-31,Bookkeeper,2629.0,6.383565319077201
2021-03-31,Virtual Assistant,53.0,12.904418380775905
2021-06-30,Graphic Designer,78922.0,10.766643079974518
2021-06-30,Transcriptionist,46668.0,18.659222656445806
2021-06-30,Copywriter,20889.0,6.336618805125666
2021-06-30,Translator,11174.0,14.363841960491674
2021-06-30,Junior Analyst,7640.0,22.96311495937325
2021-06-30,Paralegal,6558.0,17.479639664933504
2021-06-30,Junior Software Developer,3892.0,14.544667211212797
2021-06-30,QA Tester,1894.0,18.192735717608233
2021-06-30,Technical Writer,1320.0,5.864204892078336
2021-06-30,Proofreader,926.0,1.3860264348128437
2021-06-30,Sales Development Rep,461.0,8.221834005169024
2021-06-30,Bookkeeper,276.0,11.559450848898003
2021-09-30,QA Tester,94873.0,6.489039082182505
2021-09-30,Technical Writer,55083.0,9.794752046586215
2021-09-30,Transcriptionist,15734.0,6.803093936928909
2021-09-30,Junior Software Developer,4270.0,7.640012112732238
2021-09-30,Paralegal,3911.0,12.014064022540913
2021-09-30,Bookkeeper,3547.0,23.554827250496775
2021-09-30,Copywriter,1260.0,7.838679528587726
2021-09-30,Junior Analyst,832.0,8.070487700502222
2021-09-30,Virtual Assistant,724.0,20.958324948776426
2021-09-30,Customer Success Rep,53.0,21.255695413997703
2021-12-31,QA Tester,32200.0,14.131920281219324
2021-12-31,Technical Writer,17765.0,27.03746351986284
2021-12-31,Sales Development Rep,14723.0,22.082423033798083
2021-12-31,Bookkeeper,7113.0,7.117938524560208
2021-12-31,Translator,4583.0,8.12225991640612
2021-12-31,Virtual Assistant,3792.0,4.471785166591767
2021-12-31,Junior Analyst,3687.0,7.4473050184882466
2021-12-31,Transcriptionist,1482.0,9.089770893126296
2021-12-31,Paralegal,719.0,15.727976819774756
2021-12-31,Customer Success Rep,257.0,0.0
2021-12-31,Graphic Designer,54.0,13.279882925317084
2022-03-31,QA Tester,29632.0,12.466648952488734
2022-03-31,Technical Writer,23373.0,6.018006413175546
2022-03-31,Copywriter,11565.0,6.613856682741963
2022-03-31,Virtual Assistant,4366.0,16.210228730860518
2022-03-31,Graphic Designer,2105.0,12.95430076266081
2022-03-31,Sales Development Rep,1561.0,12.159746656201365
2022-03-31,Bookkeeper,1236.0,15.112003062198122
2022-03-31,Administrative Assistant,890.0,22.605359299618296
2022-03-31,Social Media Manager,129.0,21.86685173272451
2022-03-31,Transcriptionist,101.0,22.41261398057211
2022-06-30,Transcriptionist,54403.0,17.04129405348315
2022-06-30,Junior Analyst,36292.0,2.1838665110668956
2022-06-30,Administrative Assistant,20336.0,7.105755903740587
2022-06-30,Virtual Assistant,16441.0,11.524352884599663
2022-06-30,Paralegal,6085.0,22.390406191258954
2022-06-30,Technical Writer,5252.0,19.510785653415358
2022-06-30,Junior Software Developer,3679.0,24.164590346308685
2022-06-30,Sales Development Rep,2084.0,7.04288977440784
2022-06-30,Copywriter,1846.0,18.15819379269815
2022-06-30,Bookkeeper,1040.0,17.471090486233287
2022-06-30,Social Media Manager,854.0,13.886378928556493
2022-06-30,QA Tester,309.0,12.266424837605229
2022-06-30,Translator,120.0,20.24307656372547
2022-09-30,Transcriptionist,16972.0,11.309031448278764
2022-09-30,QA Tester,16955.0,6.975914097376952
2022-09-30,Bookkeeper,8573.0,15.586481907331645
2022-09-30,Proofreader,6482.0,10.981368991833584
2022-09-30,Paralegal,4055.0,16.8914364856539
2022-09-30,Graphic Designer,3926.0,10.75629878967166
2022-09-30,Junior Analyst,1226.0,3.5406337734775724
2022-09-30,Administrative Assistant,688.0,11.840930261414028
2022-09-30,Social Media Manager,505.0,21.63104167114585
2022-09-30,Technical Writer,492.0,30.255738806281105
