Region,Continent,Jobs Displaced,Net Job Loss,Wage Suppression %
Mexico,Oceania,218745.0,185943.0,12.2991210877418
United States,Asia,206111.0,175206.0,10.740371764928176
Poland,North America,196828.0,167319.0,11.81510538847243
Poland,Europe,151487.0,128774.0,13.229361569318547
Israel,Europe,145573.0,123747.0,10.950784046383323
Australia,Europe,143717.0,122172.0,10.979927150593236
Italy,Europe,142257.0,120929.0,13.04196551294114
Israel,Europe,136266.0,115834.0,9.782578689634892
Spain,Asia,134670.0,114479.0,12.034784178385136
Sweden,Oceania,132210.0,112391.0,15.329272351952254
China,Oceania,130846.0,111231.0,11.47943831647335
Mexico,North America,108725.0,92427.0,11.66524896481061
Sweden,South America,81235.0,69064.0,12.426190750819147
Brazil,South America,77630.0,66002.0,12.598256528254153
India,North America,76951.0,65420.0,9.529108286991784
