Role,Replacement Rate,Jobs Displaced,Avg Wage Before AI (USD)
Transcriptionist,7.132603352098764,259480.0,29178.057142857142
Sales Development Rep,6.076929993140541,63571.0,31469.0
Bookkeeper,5.25868316951963,193845.0,42741.67567567567
QA Tester,4.824112886432539,491880.0,40505.60317460317
Proofreader,4.383126009414463,73817.0,25000.0
Paralegal,4.1401513505850955,75859.0,30011.05128205128
Junior Analyst,4.067969993895654,303720.0,35563.1
Virtual Assistant,3.736663395362834,83689.0,25000.0
Administrative Assistant,3.142680969667402,97686.0,33773.0
Translator,2.373514948546083,127852.0,29941.0
Technical Writer,2.2821398157905617,210696.0,39955.0
Copywriter,1.9561332032631706,154582.0,25000.0
Graphic Designer,1.5,125520.0,25000.0
