Role,Total Jobs Displaced,Net Job Loss,AI Replacement Rate,Wage Suppression %
QA Tester,491880.0,418129.0,4.824112886432539,11.128042562521133
Junior Analyst,303720.0,258190.0,4.067969993895654,11.97005336151605
Transcriptionist,259480.0,220575.0,7.132603352098764,12.596572900878655
Technical Writer,210696.0,179119.0,2.2821398157905617,11.7851357849995
Bookkeeper,193845.0,164787.0,5.25868316951963,12.393523984387006
Copywriter,154582.0,131400.0,1.9561332032631706,11.786648742660129
Translator,127852.0,108684.0,2.373514948546083,8.94400481703326
Graphic Designer,125520.0,106704.0,1.5,12.566304446593248
Administrative Assistant,97686.0,83047.0,3.142680969667402,11.961105494017316
Virtual Assistant,83689.0,71146.0,3.736663395362834,13.726875282276493
Paralegal,75859.0,64498.0,4.1401513505850955,14.537223885030425
Proofreader,73817.0,62753.0,4.383126009414463,10.321747509054719
Sales Development Rep,63571.0,54051.0,6.076929993140541,12.521180879871746
Customer Success Rep,49383.0,41982.0,9.112357955342897,9.889786365721655
Junior Software Developer,15896.0,13519.0,1.5,15.582086075864755
Social Media Manager,9963.0,8473.0,2.6579396802102693,14.656174989943935
