Date,Country,Region,EV Sales,Market Share %
2020-01-31,Australia,Asia,20508,6.666666666666667
2020-01-31,Australia,Asia,7582,6.666666666666667
2020-01-31,Australia,Asia,19208,6.666689805254079
2020-01-31,Belgium,Asia,114,6.666666666666667
2020-01-31,Belgium,Oceania,104,6.670942912123155
2020-01-31,Canada,Asia,2571,6.666839539466861
2020-01-31,Canada,South America,1222,6.666666666666667
2020-01-31,Denmark,Asia,2674,6.666832880400908
2020-01-31,Denmark,South America,19784,6.666689131584888
2020-01-31,Denmark,Asia,66669,6.666673333106675
2020-01-31,Finland,North America,842,6.667194552221078
2020-01-31,India,Europe,2018,6.666666666666667
2020-01-31,Italy,Asia,3385,6.666666666666667
2020-01-31,Japan,North America,3142,6.666666666666667
2020-01-31,Japan,Asia,2441,6.666666666666667
2020-01-31,Japan,North America,175752,6.666666666666667
2020-01-31,Netherlands,North America,2133,6.666666666666667
2020-01-31,Netherlands,Europe,3659,6.666666666666667
2020-01-31,South Korea,Asia,396,6.666666666666667
2020-01-31,South Korea,South America,672,6.667328107947217
2020-01-31,South Korea,Oceania,4686,6.666666666666667
2020-01-31,South Korea,Asia,34699,6.666666666666667
2020-02-29,Australia,Asia,271,6.666666666666667
2020-02-29,Australia,Asia,41560,6.666677360727238
2020-02-29,Austria,Europe,6342,6.666666666666667
2020-02-29,Austria,Europe,381,6.667833391669584
2020-02-29,Belgium,Oceania,883,6.666666666666667
2020-02-29,Belgium,Asia,2165,6.666871959105746
2020-02-29,Belgium,Asia,1509,6.6669612088009185
2020-02-29,Belgium,Oceania,1412,6.666666666666667
2020-02-29,Canada,South America,1979,6.666891254547905
2020-02-29,Canada,South America,62068,6.666673827279572
2020-02-29,Canada,Asia,3514,6.666793147280351
2020-02-29,Canada,Asia,1443,6.666666666666667
2020-02-29,Denmark,Asia,4373,6.666666666666667
2020-02-29,Denmark,South America,5446,6.666666666666667
2020-02-29,Denmark,Asia,3798,6.666666666666667
2020-02-29,Denmark,South America,5404,6.666748911286841
2020-02-29,Denmark,Asia,1541,6.666666666666667
2020-02-29,Denmark,Asia,13111,6.6667005654313956
2020-02-29,Finland,North America,10321,6.6667097290942685
2020-02-29,Germany,Asia,8093,6.666666666666667
2020-02-29,India,Europe,2945,6.666666666666667
2020-02-29,India,Europe,1381,6.666988510186347
2020-02-29,Italy,North America,46609,6.666676202273098
2020-02-29,Netherlands,Europe,58609,6.66667424988682
2020-02-29,Netherlands,North America,1127,6.667061050638902
2020-02-29,Netherlands,North America,56558,6.666666666666667
2020-02-29,Netherlands,North America,9784,6.666666666666667
2020-02-29,New Zealand,North America,5462,6.666748037935285
2020-03-31,Belgium,Oceania,9012,6.666715983991596
2020-03-31,Belgium,Oceania,10962,6.666707211015089
2020-03-31,Belgium,Asia,18979,6.666666666666667
2020-03-31,Belgium,Asia,6978,6.666730359514278
2020-03-31,Belgium,Asia,18021,6.666666666666667
2020-03-31,Belgium,Asia,4509,6.666765236419553
2020-03-31,Belgium,Oceania,3115,6.666809348514683
2020-03-31,Canada,South America,44178,6.666676726993416
2020-03-31,Denmark,Asia,3774,6.666666666666667
2020-03-31,Denmark,Asia,3497,6.666793762153506
2020-03-31,Denmark,Asia,1030,6.667098194057868
2020-03-31,Denmark,South America,3180,6.666666666666667
2020-03-31,Denmark,South America,17554,6.666666666666667
2020-03-31,Denmark,Asia,5478,6.666666666666667
2020-03-31,Denmark,Asia,1767,6.66691820102626
2020-03-31,Denmark,Asia,2517,6.666666666666667
2020-03-31,Japan,Asia,12475,6.666702293666233
2020-03-31,Japan,Asia,7338,6.666727234734575
2020-03-31,Japan,Asia,609,6.667396540398511
2020-03-31,Netherlands,Europe,3389,6.666797812487705
2020-03-31,New Zealand,North America,9581,6.666713055095537
2020-03-31,New Zealand,North America,17248,6.666666666666667
2020-03-31,Norway,Europe,2410,6.6668510885501675
2020-03-31,Norway,Europe,29857,6.666681552470225
2020-03-31,South Korea,South America,586,6.6674251905791335
2020-03-31,South Korea,Oceania,7352,6.666666666666667
2020-03-31,South Korea,Oceania,4105,6.666666666666667
2020-03-31,South Korea,South America,3052,6.666666666666667
2020-03-31,South Korea,Oceania,30287,6.666681341128407
2020-04-30,Australia,Asia,2475,6.666666666666667
2020-04-30,Australia,Asia,28190,6.666682432736036
2020-04-30,Austria,Europe,23208,6.666666666666667
2020-04-30,Denmark,Asia,1097,6.667071836635468
2020-04-30,Denmark,Asia,1027,6.6670994546870945
2020-04-30,Denmark,South America,1253,6.667021389805257
2020-04-30,Denmark,South America,14029,6.666666666666667
2020-04-30,Denmark,South America,23147,6.666666666666667
2020-04-30,Denmark,Asia,26193,6.6666836347717195
2020-04-30,Denmark,Asia,7867,6.666723161926715
2020-04-30,Finland,North America,4574,6.666666666666667
2020-04-30,Finland,North America,3657,6.666788201407373
2020-04-30,Germany,Asia,55186,6.66667472024876
2020-04-30,Italy,Asia,29811,6.666666666666667
2020-04-30,Japan,North America,13071,6.666666666666667
2020-04-30,Japan,North America,25352,6.666666666666667
2020-04-30,Japan,North America,3353,6.666666666666667
2020-04-30,Japan,Asia,37023,6.6666786712380075
2020-04-30,Netherlands,Europe,23319,6.666666666666667
2020-04-30,Netherlands,North America,13113,6.666666666666667
2020-04-30,South Korea,Asia,5190,6.666666666666667
2020-05-31,Australia,Asia,2491,6.666666666666667
2020-05-31,Canada,South America,750,6.667259311938839
2020-05-31,Canada,Asia,22520,6.666686402268805
2020-05-31,Denmark,Asia,2571,6.666666666666667
2020-05-31,Denmark,Asia,3280,6.666802170775829
