Date,Manufacturer,HQ,Units Sold,Revenue (M$)
2020-01-31,Ford,Germany,18305.0,823724.6712171247
2020-01-31,Polestar,Germany,10608.0,477360.0768621233
2020-01-31,Lucid,Germany,4441.0,199844.98599817534
2020-01-31,Lucid,USA,3987.0,179414.88909625515
2020-01-31,GM,Germany,2696.0,121320.0023356597
2020-01-31,Rivian,South Korea,2434.0,109529.86162986702
2020-01-31,Nissan,Japan,2121.0,95444.6760084899
2020-01-31,BYD,Sweden,986.0,44370.21161857489
2020-01-31,Hyundai,South Korea,480.0,21600.31414660313
2020-01-31,Mercedes-Benz,Sweden,243.0,10935.039708813625
2020-02-29,GM,Germany,33070.0,1488150.0872436736
2020-02-29,Polestar,Germany,27602.0,1242090.2471972837
2020-02-29,Rivian,South Korea,6032.0,271440.2783349021
2020-02-29,Polestar,China,5138.0,231209.99988669052
2020-02-29,Lucid,Germany,4799.0,215954.87023434864
2020-02-29,Mercedes-Benz,Sweden,2995.0,134775.0223518344
2020-02-29,Polestar,Sweden,1996.0,89819.7920425895
2020-02-29,Hyundai,South Korea,1819.0,81854.83578520206
2020-02-29,BYD,Sweden,498.0,22410.045620504254
2020-02-29,Lucid,USA,34.0,1530.2219209797038
2020-02-29,Nissan,Japan,24.0,1079.8655456582715
2020-02-29,Ford,Germany,23.0,1034.8248895885
2020-03-31,BYD,Sweden,58648.0,2639159.630504408
2020-03-31,Lucid,Germany,23010.0,1035450.1004764235
2020-03-31,Polestar,Sweden,11268.0,507059.8849026495
2020-03-31,Nissan,Japan,7619.0,342855.42421211617
2020-03-31,Polestar,Germany,3650.0,164250.11527019177
2020-03-31,Lucid,USA,3558.0,160109.96536289057
2020-03-31,Polestar,China,3447.0,155115.0004410954
2020-03-31,Kia,USA,2614.0,117630.16283764465
2020-03-31,Hyundai,South Korea,1535.0,69075.1641414868
2020-03-31,Rivian,South Korea,496.0,22320.138242697616
2020-04-30,Kia,USA,48784.0,2195280.7113028723
2020-04-30,Nissan,Japan,19212.0,864540.1279615826
2020-04-30,BYD,Sweden,12786.0,575370.0571164704
2020-04-30,Mercedes-Benz,Sweden,8278.0,372510.0575918039
2020-04-30,Lucid,Germany,4346.0,195569.91149724164
2020-04-30,Polestar,Sweden,4051.0,182294.67842672783
2020-04-30,Lucid,USA,1967.0,88514.82760865148
2020-04-30,Polestar,Germany,862.0,38789.8360518555
2020-04-30,Polestar,China,633.0,28484.714674507017
2020-04-30,Hyundai,South Korea,383.0,17235.125831449648
2020-04-30,GM,Germany,298.0,13410.413777812959
2020-04-30,Rivian,South Korea,290.0,13049.883214186544
2020-05-31,Ford,Germany,5801.0,261045.1816741552
2020-05-31,Polestar,Sweden,4395.0,197774.80829164377
2020-05-31,Polestar,China,2295.0,103274.99750289586
2020-05-31,Rivian,South Korea,2202.0,99089.99362689863
2020-05-31,Kia,USA,1750.0,78750.10051940432
2020-05-31,Hyundai,South Korea,1499.0,67455.22312523166
2020-05-31,Lucid,Germany,777.0,34965.09938682338
2020-05-31,Nissan,Japan,544.0,24480.143658515237
2020-05-31,Lucid,USA,210.0,9450.278635898423
2020-05-31,Polestar,Germany,201.0,9044.865319512806
2020-06-30,Rivian,South Korea,39524.0,1778579.7416166465
2020-06-30,Nissan,Japan,11462.0,515789.9831229453
2020-06-30,Lucid,Germany,8496.0,382319.61919455347
2020-06-30,Polestar,Sweden,8464.0,380879.8324126026
2020-06-30,Polestar,Germany,4112.0,185039.38469375702
2020-06-30,BYD,Sweden,2411.0,108495.14540051106
2020-06-30,Kia,USA,2288.0,102960.28244672672
2020-06-30,Mercedes-Benz,Sweden,1981.0,89145.1613030411
2020-06-30,GM,Germany,1354.0,60930.04870264581
2020-06-30,Ford,Germany,866.0,38970.030817633684
2020-06-30,Polestar,China,643.0,28934.800330793234
2020-06-30,Lucid,USA,123.0,5535.071290301647
2020-07-31,Nissan,Japan,45707.0,2056815.000769488
2020-07-31,Hyundai,South Korea,14711.0,661995.4632082995
2020-07-31,GM,Germany,5356.0,241019.80159897407
2020-07-31,BYD,Sweden,1776.0,79919.9071737629
2020-07-31,Ford,Germany,1279.0,57554.95142227634
2020-07-31,Kia,USA,734.0,33030.429605886915
2020-07-31,Mercedes-Benz,Sweden,390.0,17550.088973798942
2020-07-31,Lucid,Germany,283.0,12734.788182806227
2020-07-31,Polestar,Sweden,251.0,11294.847546499579
2020-07-31,Polestar,China,33.0,1485.0587444736093
2020-08-31,Kia,USA,69283.0,3117734.9432409885
2020-08-31,Polestar,Germany,23508.0,1057860.1134161262
2020-08-31,Rivian,South Korea,20543.0,924434.8025881634
2020-08-31,Ford,Germany,2822.0,126990.12060121047
2020-08-31,BYD,Sweden,2732.0,122939.95928976602
2020-08-31,Polestar,China,2645.0,119024.79329080801
2020-08-31,Hyundai,South Korea,1186.0,53369.787118633256
2020-08-31,Polestar,Sweden,626.0,28170.31443014897
2020-08-31,GM,Germany,561.0,25245.16390335784
2020-08-31,Mercedes-Benz,Sweden,313.0,14084.98259849099
2020-08-31,Lucid,Germany,56.0,2519.7799840750313
2020-09-30,Rivian,South Korea,8514.0,383130.155147951
2020-09-30,Polestar,China,4412.0,198540.06748960644
2020-09-30,Polestar,Germany,4071.0,183194.9841623412
2020-09-30,GM,Germany,4063.0,182834.49648685346
2020-09-30,Polestar,Sweden,3082.0,138689.907831565
2020-09-30,Ford,Germany,2437.0,109665.25724332337
2020-09-30,Kia,USA,2297.0,103364.99710685636
2020-09-30,Mercedes-Benz,Sweden,1773.0,79785.18926131283
2020-09-30,BYD,Sweden,661.0,29744.940141657942
2020-09-30,Lucid,USA,545.0,24524.878577132036
2020-09-30,Nissan,Japan,402.0,18090.020999402746
2020-09-30,Lucid,Germany,115.0,5175.08000290609
2020-10-31,Nissan,Japan,114913.0,5171084.69243511
2020-10-31,GM,Germany,16962.0,763289.9297402323
2020-10-31,BYD,Sweden,14005.0,630225.0259267458
2020-10-31,Lucid,Germany,7298.0,328409.8126957598
2020-10-31,Lucid,USA,2366.0,106469.60615567464
2020-10-31,Kia,USA,1626.0,73169.99377864183
2020-10-31,Polestar,Sweden,654.0,29429.856513883595
2020-10-31,Mercedes-Benz,Sweden,376.0,16919.88030238263
2020-10-31,Hyundai,South Korea,296.0,13320.15127041624
2020-11-30,Lucid,Germany,49442.0,2224890.501650542
2020-11-30,BYD,Sweden,28426.0,1279169.817809459
2020-11-30,Nissan,Japan,15868.0,714059.899081883
2020-11-30,Lucid,USA,6390.0,287549.6906673543
2020-11-30,Kia,USA,6212.0,279540.2042076259
2020-11-30,Polestar,Germany,4542.0,204390.20342132257
2020-11-30,Polestar,China,3479.0,156554.78361321642
2020-11-30,Mercedes-Benz,Sweden,3364.0,151380.00496664792
2020-11-30,Rivian,South Korea,3051.0,137294.86472865776
2020-11-30,Ford,Germany,2767.0,124514.84290146652
2020-11-30,Polestar,Sweden,2754.0,123930.0291112414
2020-11-30,Hyundai,South Korea,697.0,31364.865205503997
2020-11-30,GM,Germany,210.0,9450.373889529237
2020-12-31,Lucid,USA,61253.0,2756384.5405625724
