Country,Region,Policy Score,Market Share %,Total EV Sales
Denmark,Asia,68.66666666666667,6.666775406971245,3523925.0
Italy,North America,60.0,6.666730064987662,2055071.0
Italy,South America,86.0,6.6668411525964615,1681330.0
Norway,Europe,49.0,6.666791192062518,1472801.0
Italy,Asia,38.0,6.666728157378557,1312524.0
South Korea,South America,54.0,6.666811632183202,1293351.0
Netherlands,Europe,43.0,6.666717714276801,1189374.0
Belgium,Asia,65.0,6.666778570892497,1098311.0
Netherlands,North America,75.0,6.666828119324004,1028755.0
India,Europe,68.0,6.66681640869851,1027018.0
Japan,North America,56.0,6.666785163033657,1017694.0
South Korea,Oceania,46.0,6.666744976243578,994349.0
New Zealand,North America,40.0,6.666719698042447,945276.0
Denmark,South America,78.0,6.66682818507777,909754.0
Japan,Asia,66.0,6.666848541635965,895586.0
Australia,Asia,83.0,6.666799769725209,884688.0
Finland,North America,22.0,6.666784164613212,815099.0
Germany,Asia,42.0,6.666774999463405,764867.0
Belgium,Oceania,96.0,6.666825317645021,731249.0
Canada,Asia,47.0,6.666786543025322,712474.0
Austria,Europe,54.0,6.66681963150558,709516.0
Canada,South America,64.0,6.666749332941544,686687.0
South Korea,Asia,100.0,6.666911766223531,645559.0
