Region,Country,Total EV Sales,Avg Market Share %
Asia,Denmark,3523925.0,6.666775406971245
Asia,Italy,1312524.0,6.666728157378557
Asia,Belgium,1098311.0,6.666778570892497
Asia,Japan,895586.0,6.666848541635965
Asia,Australia,884688.0,6.666799769725209
Asia,Germany,764867.0,6.666774999463405
Asia,Canada,712474.0,6.666786543025322
Asia,South Korea,645559.0,6.666911766223531
Europe,Norway,1472801.0,6.666791192062518
Europe,Netherlands,1189374.0,6.666717714276801
Europe,India,1027018.0,6.66681640869851
Europe,Austria,709516.0,6.66681963150558
North America,Italy,2055071.0,6.666730064987662
North America,Netherlands,1028755.0,6.666828119324004
North America,Japan,1017694.0,6.666785163033657
North America,New Zealand,945276.0,6.666719698042447
North America,Finland,815099.0,6.666784164613212
Oceania,South Korea,994349.0,6.666744976243578
Oceania,Belgium,731249.0,6.666825317645021
South America,Italy,1681330.0,6.6668411525964615
South America,South Korea,1293351.0,6.666811632183202
South America,Denmark,909754.0,6.66682818507777
South America,Canada,686687.0,6.666749332941544
