Country,Region,Total EV Sales,Avg Market Share %,Policy Score
Denmark,Asia,3523925.0,6.666775406971245,68.66666666666667
Italy,North America,2055071.0,6.666730064987662,60.0
Italy,South America,1681330.0,6.6668411525964615,86.0
Norway,Europe,1472801.0,6.666791192062518,49.0
Italy,Asia,1312524.0,6.666728157378557,38.0
South Korea,South America,1293351.0,6.666811632183202,54.0
Netherlands,Europe,1189374.0,6.666717714276801,43.0
Belgium,Asia,1098311.0,6.666778570892497,65.0
Netherlands,North America,1028755.0,6.666828119324004,75.0
India,Europe,1027018.0,6.66681640869851,68.0
Japan,North America,1017694.0,6.666785163033657,56.0
South Korea,Oceania,994349.0,6.666744976243578,46.0
New Zealand,North America,945276.0,6.666719698042447,40.0
Denmark,South America,909754.0,6.66682818507777,78.0
Japan,Asia,895586.0,6.666848541635965,66.0
