Manufacturer,HQ Country,Total Units Sold,Revenue (Millions USD)
BYD,Sweden,779395.0,35072771.361476675
Lucid,Germany,758805.0,34146231.63521088
Rivian,South Korea,511836.0,23032617.495762307
Mercedes-Benz,Sweden,448902.0,20200589.509786837
Kia,USA,444044.0,19981983.65485387
Lucid,USA,437569.0,19690602.176182482
GM,Germany,403054.0,18137427.20600036
Nissan,Japan,398869.0,17949103.907515757
Polestar,Germany,394923.0,17771536.691822052
Polestar,Sweden,354902.0,15970589.465667235
Ford,Germany,341977.0,15388964.277009694
Polestar,China,286775.0,12904876.261785556
Hyundai,South Korea,255348.0,11490661.554765085
